component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M09-T01-C01,M09-T01,legal_baseline,Costa-Hawkins prevented local rent control from applying to single-family homes.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T01-C02,M09-T01,legal_baseline,"Costa-Hawkins prevented local rent control from applying to housing built on or after February 1, 1995.","Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T01-C03,M09-T01,legal_baseline,Costa-Hawkins generally prevented local limits on the initial rent charged to a new tenant.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T02-C01,M09-T02,policy_change,Proposition 33 would eliminate Costa-Hawkins.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T02-C02,M09-T02,policy_change,Cities and counties could apply rent control to any housing.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T02-C03,M09-T02,policy_change,Cities and counties could limit rent increases when a new renter moves in.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T03-C01,M09-T03,implementation_condition,Proposition 33 itself would not automatically change existing local rent-control laws.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T03-C02,M09-T03,implementation_condition,Cities and counties generally would need separate future actions to change their local laws.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T04-C01,M09-T04,state_authority_limit,The state would be prevented from taking future actions that limit local rent control.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T05-C01,M09-T05,renter_effects,Some renters in properties covered by expanded rent control would spend less on rent.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
