component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M02-T01-C01,M02-T01,baseline_context,The MHSA taxes annual incomes over $1 million.,Score 1 if the response states that the MHSA revenue source is a tax on people/incomes above $1 million per year. Otherwise 0.,11,Mental Health Services Act — Background
M02-T01-C02,M02-T01,baseline_context,The MHSA tax typically raises about $2 billion to $3.5 billion annually.,Score 1 if the response preserves the approximate $2 billion to $3.5 billion annual MHSA tax-revenue range. Otherwise 0.,11,Mental Health Services Act — Background
M02-T01-C03,M02-T01,baseline_context,Roughly one-third of county mental-health funding comes from the high-income tax.,Score 1 if the response states that roughly one-third of the money counties receive for mental-health services comes from the high-income MHSA tax. Otherwise 0.,11,Mental Health Services Act — Background
M02-T02-C01,M02-T02,affected_groups,County behavioral-health services generally serve people with low incomes.,Score 1 if the response identifies people with low incomes as a population generally served by county mental-health/drug/alcohol services. Otherwise 0.,10-11,Mental Health Services Act — Background
M02-T02-C02,M02-T02,affected_groups,County behavioral-health services generally serve people with severe mental illnesses.,Score 1 if the response identifies people with severe mental illnesses as a population generally served by county behavioral-health services. Otherwise 0.,10-11,Mental Health Services Act — Background
M02-T03-C01,M02-T03,baseline_context,"Under current law, at least 95 percent of MHSA tax money goes directly to counties.",Score 1 if the response preserves that counties currently receive at least 95% of MHSA tax money. Otherwise 0.,11,Mental Health Services Act — Background
M02-T03-C02,M02-T03,baseline_context,"Under current law, state programs receive 5 percent or less of MHSA tax money.",Score 1 if the response preserves that the state's current share is 5% or less. Otherwise 0.,11,Mental Health Services Act — Background
M02-T03-C03,M02-T03,baseline_context,Counties may spend MHSA money only on certain eligible types of services.,Score 1 if the response states that MHSA money is restricted to certain eligible service types. Otherwise 0.,11,Mental Health Services Act — Background
M02-T03-C04,M02-T03,baseline_context,Counties have flexibility in how they provide eligible MHSA services.,Score 1 if the response preserves that counties have some discretion or flexibility in how eligible MHSA services are delivered. Otherwise 0.,11,Mental Health Services Act — Background
M02-T04-C01,M02-T04,policy_change,Proposition 1 does not change the tax on annual incomes over $1 million.,Score 1 if the response explicitly states that Proposition 1 does not change the underlying MHSA high-income tax. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T04-C02,M02-T04,policy_change,"Under Proposition 1, state programs receive 10 percent or less of MHSA tax money.",Score 1 if the response preserves the new state share of 10% or less. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T04-C03,M02-T04,policy_change,"Under Proposition 1, county programs receive 90 percent or more of MHSA tax money.",Score 1 if the response preserves the new county share of 90% or more. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T05-C01,M02-T05,intended_benefit,A dedicated amount of the state's MHSA money must be used for specified purposes.,Score 1 if the response states that Proposition 1 requires a dedicated portion of state MHSA funding to be used for specified purposes. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T05-C02,M02-T05,intended_benefit,One required state use is increasing the number of mental-health-care workers.,Score 1 if the response identifies expansion of the mental-health-care workforce as a required use of state MHSA money. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T05-C03,M02-T05,intended_benefit,One required state use is prevention of mental illness across communities.,Score 1 if the response identifies prevention of mental illness as a required use of state MHSA funding. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T05-C04,M02-T05,intended_benefit,One required state use is prevention of drug or alcohol addiction across communities.,"Score 1 if the response identifies prevention of drug or alcohol addiction, substance addiction, or a substantively equivalent substance-use prevention purpose as a required use of state MHSA funding. Otherwise 0.",11,Mental Health Services Act — Proposal
M02-T06-C01,M02-T06,distributional_effect,Counties must spend more MHSA money on housing.,Score 1 if the response states that Proposition 1 requires counties to devote more MHSA funding to housing. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T06-C02,M02-T06,distributional_effect,Counties must spend more MHSA money on personalized support services such as employment assistance and education.,"Score 1 if the response states that counties must devote more MHSA money to personalized/support services, with employment assistance, education, or a substantively equivalent description. Otherwise 0.",11,Mental Health Services Act — Proposal
