claim_id,category,reference_claim,supporting_source_text,source_document,source_page,source_section,importance_note
M10-T01,program_baseline,"The federal drug-discount program provides discounted drugs to qualifying health-care providers serving low-income people, and providers can earn net revenue from the discounts without a direct federal or state restriction on how that revenue is spent.","discounted prices. _New Approach Is Not in State Law._ MediCal Rx is not refected in state law, but it is the approach used to pay for drugs in Medi-Cal. ##### FEDERAL DRUG DISCOUNT PROGRAM _Federal Program Provides Discounts on Drugs to Certain Health Care Providers._ Under a federal program, drug makers provide discounts on their drugs to hospitals, clinics, and other",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,Provides the program baseline necessary to understand the new spending restriction.
M10-T02,spending_rule,Affected entities would have to spend at least 98 percent of net federal drug-discount revenue earned in California on direct patient care.,"Discounts._ Proposition 34 creates new rules about how certain health care entities spend revenue from the federal drug discount program. Specifcally, the entities would 34 have to spend at least 98 percent of their net revenue earned in California on health care services provided directly to patients (“direct patient care”). As Figure 1 shows, <!-- Start of picture text --> Figure",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,Defines Proposition 34's central spending requirement.
M10-T03,applicability,"The restrictions apply only to entities satisfying four conditions involving participation in the federal discount program, specified California health-care licensing or contracts, more than $100 million in non-patient-care spending during a ten-year period, and specified multifamily housing with at least 500 high-severity violations.","a license in California to operate as a health plan, pharmacy, or<br>clinic, or has had certain contracts with Medi-Cal or Medicare.<br>• Has a ten-year period where it spent more than $100 million on purposes other than<br>direct patient care.<br>• Owns and operates (or has previously owned and operated) multifamily housing units<br>with at least 500 violations with a severity level of ""high.""<br><!-- End

a ten-year period where it spent more than $100 million on purposes other than<br>direct patient care.<br>• Owns and operates (or has previously owned and operated) multifamily housing units<br>with at least 500 violations with a severity level of ""high.""<br><!-- End of picture text --> 34 ###### ANALYSIS BY THE LEGISLATIVE ANALYST these rules apply only to entities that meet certain conditions (“afected",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,The narrow four-part applicability rule is essential to understanding the measure's scope.
M10-T04,reporting_and_enforcement,"Affected entities must report federal drug-discount revenue and spending to the state annually; the state may charge affected entities fees to cover enforcement, and untimely or inaccurate reporting is treated as prohibited conduct.","of ""high.""<br><!-- End of picture text --> 34 ###### ANALYSIS BY THE LEGISLATIVE ANALYST these rules apply only to entities that meet certain conditions (“afected entities”). _Requires Afected Entities to Report Annually to the State._ Proposition 34 requires afected entities to report certain information to the state each year (annually). The afected entities would have to report how much revenue they

STATE AND LOCAL GOVERNMENT FISCAL IMPACT: - Increased state costs, likely in the millions of dollars annually, to enforce new rules on certain health care entities. Afected entities would pay fees to cover these costs. - Penalizes noncompliance with spending restrictions by revoking health care licenses and tax-exempt status. ###### ANALYSIS BY THE LEGISLATIVE ANALYST 34 ### BACKGROUND ##### DRUG COVERAGE",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,Captures the compliance-monitoring mechanism.
M10-T05,penalties,"Violations can trigger four ten-year penalties: loss of California tax-exempt status, loss of license, exclusion from state and local contracts or grants, and restrictions on affected leaders serving in certain health-care leadership roles.","to enforce new rules on certain health care entities. Afected entities would pay fees to cover these costs. - Penalizes noncompliance with spending restrictions by revoking health care licenses and tax-exempt status. ###### ANALYSIS BY THE LEGISLATIVE ANALYST 34 ### BACKGROUND ##### DRUG COVERAGE IN MEDI-CAL _Medi-Cal Pays for Prescription Drugs for Low-Income People._ Medi-Cal is a federal-state program that provides

Start of picture text --> 2<br>Proposition 34 Establishes Four Penalties<br>For Ten Years:<br>• Entity loses Ca li fornia tax-exempt status.<br>• Entity loses license.<br>• En tity cannot receive state and local government contracts or grants.<br>• Entity's leaders cannot serve leadership ro les in a Ca lifornia hea lth plan, pharmacy, or clini c.<br><!-- End of picture text --> ## RESTRICTS SPENDING OF PRESCRIPTION",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,Captures the severity and breadth of enforcement consequences.
M10-T06,medi_cal_rx,"Proposition 34 would place Medi-Cal Rx into state law, but because Medi-Cal Rx was already in effect it would not change the current drug-payment approach.","Has a New Approach to Pay for Drugs._ Before 2019, Medi-Cal paid for the cost of prescription drugs in diferent ways. In 2019, the state adopted a single approach called “Medi-Cal Rx.” Medi-Cal Rx likely saves the state money because Medi-Cal pays for drugs at more discounted prices. _New Approach Is Not in State Law._ MediCal Rx is not refected in",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,Important qualification preventing the codification from being mistaken for a new payment system.
M10-T07,scope_uncertainty,"Likely few entities would meet the measure's conditions, the exact number is unknown, and statewide fiscal effects therefore would be limited.","already is in efect, the proposition does not change the current approach Medi-Cal uses to pay for drugs. ### FISCAL EFFECTS _Has Limited Statewide Fiscal Efects._ Under Proposition 34, likely few entities would meet the conditions described in Figure 1. The exact number of afected entities, however, is not known. Because few entities would be afected, the proposition’s statewide fscal efect",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,Captures the narrow and uncertain statewide scope.
M10-T08,state_enforcement_cost,State enforcement costs would likely be in the millions of dollars annually and would be covered by fees on affected entities.,"state to negotiate Medi-Cal drug prices on statewide basis. #### SUMMARY OF LEGISLATIVE ANALYST’S ESTIMATE OF NET STATE AND LOCAL GOVERNMENT FISCAL IMPACT: - Increased state costs, likely in the millions of dollars annually, to enforce new rules on certain health care entities. Afected entities would pay fees to cover these costs. - Penalizes noncompliance with spending restrictions by revoking health",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,Captures the measure's primary direct state fiscal cost and funding mechanism.
M10-T09,potential_state_savings,"If compliance causes affected entities to increase direct patient-care spending on Medi-Cal patients, the state could save money, depending on the health services provided.","as: - _Savings From Increased Spending on Direct Patient Care._ Some afected entities could increase spending on direct patient care to comply with Proposition 34. If this increase results in more spending on Medi-Cal patients, there could be savings to the state. This would depend on what health care services are provided. - _Costs From Fewer Federal Drug Discounts._ Afected entities",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,Captures one explicitly conditional fiscal pathway.
M10-T10,potential_discount_cost,Some affected entities might change operations or leave the federal discount program; fewer discounts flowing to Medi-Cal could create state costs.,"If this increase results in more spending on Medi-Cal patients, there could be savings to the state. This would depend on what health care services are provided. - _Costs From Fewer Federal Drug Discounts._ Afected entities would have to pay fees and report to the state annually. Some entities might change their operations to avoid these requirements. For example, they could",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,Captures a fiscal pathway operating in the opposite direction.
M10-T11,penalty_fiscal_uncertainty,"Penalties could put an affected entity out of business and could affect taxes, Medi-Cal, or other government spending; the fiscal effect would depend on which entities face penalties.","or engage in bad conduct, it would face penalties (such as the loss of its tax-exempt status and its health care licenses for ten years). These penalties could put it out of business. This could afect state tax revenue, state spending on MediCal, or spending on other state and local government programs. The fscal efect would depend on which afected entities",M10_official.pdf,46;47;48;49,Official Title/Summary and Legislative Analyst Analysis,Preserves the source's uncertainty regarding penalty-driven fiscal effects.
