component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M10-T01-C01,M10-T01,program_baseline,A federal program provides drug discounts to qualifying health-care providers.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T01-C02,M10-T01,program_baseline,Eligible providers focus on serving low-income people.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T01-C03,M10-T01,program_baseline,Federal and state law did not directly restrict how providers spent net revenue from federal drug discounts.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T02-C01,M10-T02,spending_rule,Affected entities must spend at least 98 percent of covered net revenue on direct patient care.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T02-C02,M10-T02,spending_rule,The covered revenue is net federal drug-discount revenue earned in California.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T03-C01,M10-T03,applicability,The entity must participate in the federal drug-discount program.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T03-C02,M10-T03,applicability,The entity must satisfy the specified California health-care licensing or government-contract condition.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T03-C03,M10-T03,applicability,The entity must have exceeded $100 million in non-direct-patient-care spending during a ten-year period.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T03-C04,M10-T03,applicability,The entity must satisfy the specified multifamily-housing condition involving at least 500 high-severity violations.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T04-C01,M10-T04,reporting_and_enforcement,Affected entities must report specified information annually to the state.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T04-C02,M10-T04,reporting_and_enforcement,Reporting includes federal discount revenue and how that revenue was spent.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T04-C03,M10-T04,reporting_and_enforcement,The state may charge affected entities fees to cover enforcement costs.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T04-C04,M10-T04,reporting_and_enforcement,Untimely or inaccurate reporting is treated as prohibited professional or public-safety conduct.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
